year,month,day,Power (MW),Coal Fuel Energy (MW),Biomass Fuel Energy (MW),Oil Fuel Energy (MW),Flue Gas Flow (Nm3/s),Oxygen content (%),Flue Gas Pressure (bar),Flue Gas Temp (degC),Coal Fuel Proportion,Biomass Fuel Proportion
2023,1,1,173.83,61.89,142.88,0,82.42,2.27,0.995,174.73,0.18,0.82
2023,1,2,167.99,70.8,132.58,0,79.99,2.32,0.998,172.97,0.21,0.79
2023,1,3,156,46.48,133.73,0,75.48,2.58,1.001,169.21,0.14,0.86
2023,1,4,151.65,58.73,135.74,0,73.54,2.48,0.998,170.59,0.10,0.90
2023,1,5,144.66,60.24,118.3,0,70.98,3.12,0.983,169.6,0.18,0.82
2023,1,6,156.12,55.39,116.88,0,76.32,2.36,0.998,172.37,0.25,0.75
2023,1,7,147.88,40.47,125.12,0,72.33,2.63,0.998,169.28,0.15,0.85
2023,1,8,148.36,65.75,115.49,0,72.86,2.41,0.993,170.15,0.22,0.78
2023,1,9,170.65,65.48,128.36,0,82.44,2.27,0.984,180.3,0.25,0.75
2023,1,10,183.86,65.74,149.29,0,88.08,2.24,0.993,180.29,0.21,0.79
2023,1,11,179.26,84.61,129.91,0,85.65,2.57,0.997,177.44,0.28,0.72
2023,1,12,104.52,71.81,79.67,0,53.19,6.38,0.993,165.46,0.36,0.64
2023,1,13,183.05,103.75,133.33,0,88.52,2.92,0.989,178.34,0.27,0.73
2023,1,14,181.03,116.02,130.27,0,86.15,2.56,0.994,177.94,0.28,0.72
2023,1,15,177.5,85.15,131.38,0,85.03,2.68,0.983,178.48,0.25,0.75
2023,1,16,168.32,89.09,127.49,0,80.49,2.93,0.980,176.07,0.24,0.76
2023,1,17,169.88,87.66,140.66,0,81.86,2.54,0.971,177.07,0.18,0.82
2023,1,18,172.46,64.55,145.56,0,83.37,2.5,0.973,176.86,0.16,0.84
2023,1,19,160.5,92.59,139.28,0,77.6,2.66,0.985,171.79,0.14,0.86
2023,1,20,156.99,59.39,129.77,0,76.98,2.86,0.993,172.96,0.18,0.82
2023,1,21,163.03,80.28,142.96,0,80.21,2.68,0.998,178.36,0.12,0.89
2023,1,22,172.94,71.11,146.28,0,84.84,2.58,1.010,181.53,0.15,0.85
2023,1,23,183.29,70.81,134.6,0,86.87,2.77,1.015,180.42,0.27,0.74
2023,1,24,179.25,95.78,135.35,0,84.31,2.82,1.017,180.38,0.24,0.76
2023,1,25,172,71.34,125.92,0,81.67,2.86,1.010,173.62,0.27,0.73
2023,1,26,175.56,85.76,134.47,0,84.15,2.58,1.001,175.03,0.23,0.77
2023,1,27,175.01,79.48,146.86,0,83.91,2.54,1.001,175.87,0.16,0.84
2023,1,28,168.92,63.5,151.72,0,82.02,2.52,1.003,175.79,0.10,0.90
2023,1,29,163.33,86.89,147.03,0,80.27,2.51,0.997,174.58,0.10,0.90
2023,1,30,159.2,53.25,139.23,0,77.73,2.64,0.980,172.66,0.13,0.87
2023,1,31,161.16,74.72,137.81,0,79.03,2.59,0.984,175.2,0.15,0.86
2023,2,1,169.14,72.96,153.94,0,85.1,2.77,0.980,160.07,0.09,0.91
2023,2,2,178.23,93.93,141.05,0,86.09,3.2,0.985,181.87,0.21,0.79
2023,2,3,184.49,109.25,145.8,0,89.85,3.34,0.992,178.37,0.21,0.79
2023,2,4,189.03,71.8,150.14,0,90.65,3.38,1.002,174.87,0.21,0.79
2023,2,5,168.05,77.29,134.24,0,81.33,3.54,1.013,172.48,0.21,0.79
2023,2,6,133.37,84.66,125.59,0,66.7,4.46,1.016,180.06,0.08,0.92
2023,2,7,142.76,90.09,133.37,0,70.35,3.54,1.017,175.52,0.07,0.93
2023,2,8,167.23,75.61,138.88,0,81.01,3.33,1.023,175.82,0.17,0.84
2023,2,9,173.75,92.01,139.25,0,83.69,3.22,1.014,174.12,0.20,0.80
2023,2,10,158.93,54.03,143.17,0,77.61,3.41,1.006,178.22,0.10,0.90
2023,2,11,148.57,54.33,128.19,0,72.1,3.5,0.999,173.3,0.14,0.86
2023,2,12,153.55,41,129.64,0,74.31,3.35,1.011,171.04,0.16,0.84
2023,2,13,134.8,115.93,115.5,0,65.71,6.14,1.009,171.78,0.39,0.61
2023,2,14,153.62,123.24,132.09,0,73.61,4.53,1.010,176.21,0.38,0.63
2023,2,15,155.04,50.65,122.59,0,74.14,3.41,1.009,171.97,0.21,0.79
2023,2,16,153.57,56.88,110.92,0,73.4,3.39,1.000,173.13,0.28,0.72
2023,2,17,149.99,61.69,114.37,0,72.31,4.23,0.991,172.75,0.24,0.76
2023,2,18,173.76,53.3,147.11,0,84.1,3.37,0.983,176.59,0.16,0.84
2023,2,19,178.14,78.16,135.81,0,86.52,3.26,0.989,178.65,0.24,0.76
2023,2,20,167.04,59.26,146.05,0,81.65,3.22,0.985,174.85,0.13,0.87
2023,2,21,150.55,89.86,137.45,0,73.45,3.31,0.983,171.98,0.09,0.91
2023,2,22,142.52,48.51,123.32,0,69.95,3.47,0.997,168.72,0.14,0.86
